method,image_index,global_mse,global_psnr,global_ssim,global_ms_ssim,global_dists,global_gmsd,full_lpips,patch_ssim_mean,patch_ssim_median,patch_ssim_p10,patch_ssim_bottom10_mean,patch_ssim_min,ssim_tail_gap,patch_lpips_top10_mean,patch_lpips_max,patch_mse_top25,patch_mse_p95,top25_local_psnr,gini,cv,top10_over_mean,top10_energy_share,ciede2000_global,ciede2000_p95,ciede2000_max,crop_ratio,repeat,raw_bit_accuracy,raw_ber,detection_success,exact_decode_success,schema,train_epochs,train_images,train_batch_size,train_steps,train_last_loss
Q-control,0,3.386970638530329e-05,44.70188568214989,0.9922765493392944,0.9964027404785156,nan,nan,0.00034913967829197645,0.9915295839309692,0.9935067296028137,0.9825283586978912,0.9818053245544434,0.9816733598709106,0.011701405048370361,9.429310739506036e-05,9.866842447081581e-05,7.275153620867059e-05,7.967690180521458e-05,41.381578317591725,0.424497026973114,0.7705259000482485,2.4313198807908534,0.30391498509885667,0.3150116205215454,0.9252468675374977,4.650382995605469,50,2,1.0,0.0,1,1,1,2,64,4,32,1.4418116807937622
Q-control,1,6.973157724132761e-05,41.565705114843354,0.990409255027771,0.9950488805770874,nan,nan,0.0008738674805499613,0.9895647764205933,0.992508053779602,0.976895660161972,0.9702678322792053,0.9680261015892029,0.02224022150039673,0.0004442886565811932,0.0004575815110001713,0.00011918444215552881,0.00012266052908671554,39.23780431902661,0.30914875221796617,0.5460875827078501,1.8701992588206215,0.2337749073525777,0.5258270502090454,1.7051908552646622,5.138634204864502,50,2,0.96,0.04,1,1,1,2,64,4,32,1.4418116807937622
Q-control,2,8.312911813845858e-05,40.80246826615063,0.9940962791442871,0.997276246547699,nan,nan,0.0011323606595396996,0.9923461079597473,0.9923586845397949,0.9876926839351654,0.9856575727462769,0.9838878512382507,0.006701111793518066,0.0003165366651955992,0.0003336988156661391,0.00015705556143075228,0.00016164875341928564,38.03946680367526,0.35918601395988053,0.6740135814261101,2.1810506744057725,0.27263133430072156,0.5135555267333984,1.6441607236862175,6.290895938873291,50,2,0.99,0.01,1,1,1,2,64,4,32,1.4418116807937622
Q-control,3,5.4027095757192e-05,42.67388377464056,0.9885649681091309,0.9940916299819946,nan,nan,0.0010535846231505275,0.9891378879547119,0.9924756288528442,0.978943943977356,0.9723570346832275,0.9665498733520508,0.0201185941696167,0.0005206549540162086,0.0006690684822387993,0.00010510130960028619,0.00010612270307319704,39.783918724719065,0.38830506646597424,0.7093147124858209,2.181990801978928,0.272748850247366,0.4862803816795349,1.5541233241558066,5.701781272888184,50,2,0.99,0.01,1,1,1,2,64,4,32,1.4418116807937622
Q-control,4,4.959535363013856e-05,43.04559008737877,0.99103182554245,0.9949087500572205,nan,nan,0.0016852992121130228,0.9901241660118103,0.9912712574005127,0.981377899646759,0.9786237478256226,0.9769098162651062,0.012647509574890137,0.00036556494887918234,0.00039843295235186815,0.00010421771730761975,0.00010993906653311569,39.82058443465952,0.3974481552584569,0.7219834559106822,2.323609391951055,0.2904511739938819,0.4630015790462494,1.5068511843681334,4.475762844085693,50,2,0.96,0.04,1,1,1,2,64,4,32,1.4418116807937622
Q-control,5,8.554080704925582e-05,40.67826656634913,0.9870057106018066,0.9940263628959656,nan,nan,0.001309249666519463,0.9848271608352661,0.9899533987045288,0.9708810746669769,0.9520400762557983,0.9384865760803223,0.03791332244873047,0.00044757284922525287,0.0005087344907224178,0.00019004137720912695,0.00019328033886267804,37.211518309567,0.41614280857882485,0.8720272404355048,2.768111029120939,0.3460138786401174,0.5199277997016907,1.727152234315871,6.162929534912109,50,2,0.97,0.03,1,1,1,2,64,4,32,1.4418116807937622
Q-control,6,6.519766611745581e-05,41.857679504406555,0.9842727184295654,0.9929242134094238,nan,nan,0.000810643658041954,0.9819782972335815,0.9806919693946838,0.9726575314998627,0.9678090214729309,0.963546872138977,0.01288294792175293,0.0002686486695893109,0.00031150103313848376,0.00011844436812680215,0.00012423792031768244,39.26485584579047,0.3057605447191689,0.544433733487226,1.9448448774356712,0.2431056096794589,0.45499664545059204,1.3959474742412559,4.592306137084961,50,2,0.97,0.03,1,1,1,2,64,4,32,1.4418116807937622
Q-control,7,5.211986353970133e-05,42.82996730028376,0.9831866025924683,0.9916858673095703,nan,nan,0.00047948010615073144,0.982623815536499,0.9848915338516235,0.9713238775730133,0.954864501953125,0.9413415193557739,0.030027031898498535,0.0001969000877579674,0.0002531863865442574,0.00010559060319792479,0.00011848313442897052,39.76374729158952,0.36776438876970224,0.707466844518681,2.51334743330864,0.31416842916358,0.4147217869758606,1.271899801492688,4.388774871826172,50,2,0.99,0.01,1,1,1,2,64,4,32,1.4418116807937622
Q-control,8,3.888787250616588e-05,44.10185815765015,0.9952229261398315,0.997289776802063,nan,nan,0.0007200321997515857,0.9944537878036499,0.9945695400238037,0.9911112487316132,0.9862425923347473,0.9820445775985718,0.008326947689056396,0.0003987977688666433,0.00041249330388382077,7.692460349062458e-05,7.84151616244344e-05,41.13934733654148,0.3826027562979217,0.6818699404285552,2.1340992606647067,0.26676240758308833,0.47451943159103394,1.3776142477989197,5.195425987243652,50,2,0.96,0.04,1,1,1,2,64,4,32,1.4418116807937622
Q-control,9,0.00010895873856497929,39.62737933307942,0.9879428744316101,0.9927127361297607,nan,nan,0.001670322148129344,0.9882375001907349,0.9917967915534973,0.9791102409362793,0.9777126312255859,0.9769253730773926,0.014084160327911377,0.0005096187815070152,0.00058155064471066,0.00020993185171391815,0.00023547754244646057,36.77921663494115,0.3389736132510881,0.6218192414285099,2.173575278657864,0.271696909832233,0.6151341199874878,2.199495077133176,7.966270923614502,50,2,0.91,0.09,0,0,1,2,64,4,32,1.4418116807937622
Q-control,10,3.9506583561887965e-05,44.03330525478594,0.9894746541976929,0.9943816661834717,nan,nan,0.00098209991119802,0.9888896942138672,0.9902739524841309,0.9803757071495056,0.977036714553833,0.9753673076629639,0.013237237930297852,0.0003412642690818757,0.0004071365692652762,6.723571277689189e-05,7.662334974156693e-05,41.72399986736121,0.2976868351974323,0.5308679434391803,1.9592834742872953,0.24491043428591192,0.38863465189933777,1.1425654113292694,3.6654274463653564,50,2,0.99,0.01,1,1,1,2,64,4,32,1.4418116807937622
Q-control,11,5.1426166464807466e-05,42.88815848714738,0.9910615682601929,0.9952055811882019,nan,nan,0.0006451982771977782,0.9906882643699646,0.9913831949234009,0.985379159450531,0.9789325594902039,0.9734424948692322,0.012450635433197021,0.00026345509104430676,0.00028364817262627184,0.00010316239058738574,0.00011429016194597352,39.864786024891146,0.40729539549536153,0.7362476309754239,2.4067793121041023,0.3008474140130128,0.43384531140327454,1.4783152937889072,6.278810977935791,50,2,0.99,0.01,1,1,1,2,64,4,32,1.4418116807937622
